<bound method mini_drone.default_roidb of <faster_rcnn.datasets.mini_drone.mini_drone object at 0x7f9b04050690>>
load model successfully!
im_detect: 1/11762 0.876s 0.000s
im_detect: 2/11762 0.391s 0.000s
im_detect: 3/11762 0.377s 0.000s
im_detect: 4/11762 0.386s 0.000s
im_detect: 5/11762 0.396s 0.000s
im_detect: 6/11762 0.391s 0.000s
im_detect: 7/11762 0.385s 0.000s
im_detect: 8/11762 0.387s 0.000s
im_detect: 9/11762 0.394s 0.000s
im_detect: 10/11762 0.397s 0.000s
im_detect: 11/11762 0.409s 0.000s
im_detect: 12/11762 0.396s 0.000s
im_detect: 13/11762 0.390s 0.000s
im_detect: 14/11762 0.379s 0.000s
im_detect: 15/11762 0.397s 0.000s
im_detect: 16/11762 0.389s 0.000s
im_detect: 17/11762 0.396s 0.000s
im_detect: 18/11762 0.387s 0.000s
im_detect: 19/11762 0.393s 0.000s
im_detect: 20/11762 0.369s 0.000s
im_detect: 21/11762 0.375s 0.000s
im_detect: 22/11762 0.370s 0.000s
im_detect: 23/11762 0.383s 0.000s
im_detect: 24/11762 0.394s 0.000s
im_detect: 25/11762 0.385s 0.000s
im_detect: 26/11762 0.385s 0.000s
im_detect: 27/11762 0.377s 0.000s
im_detect: 28/11762 0.401s 0.000s
im_detect: 29/11762 0.414s 0.000s
im_detect: 30/11762 0.409s 0.000s
im_detect: 31/11762 0.384s 0.000s
im_detect: 32/11762 0.391s 0.000s
im_detect: 33/11762 0.382s 0.000s
im_detect: 34/11762 0.389s 0.000s
im_detect: 35/11762 0.395s 0.000s
im_detect: 36/11762 0.374s 0.000s
im_detect: 37/11762 0.384s 0.000s
im_detect: 38/11762 0.384s 0.000s
im_detect: 39/11762 0.376s 0.000s
im_detect: 40/11762 0.374s 0.000s
im_detect: 41/11762 0.379s 0.000s
im_detect: 42/11762 0.384s 0.000s
im_detect: 43/11762 0.375s 0.000s
im_detect: 44/11762 0.386s 0.000s
im_detect: 45/11762 0.400s 0.000s
im_detect: 46/11762 0.410s 0.000s
im_detect: 47/11762 0.405s 0.000s
im_detect: 48/11762 0.385s 0.000s
im_detect: 49/11762 0.408s 0.000s
im_detect: 50/11762 0.401s 0.000s
im_detect: 51/11762 0.386s 0.000s
im_detect: 52/11762 0.375s 0.000s
im_detect: 53/11762 0.386s 0.000s
im_detect: 54/11762 0.375s 0.000s
im_detect: 55/11762 0.384s 0.000s
im_detect: 56/11762 0.384s 0.000s
im_detect: 57/11762 0.380s 0.000s
im_detect: 58/11762 0.380s 0.000s
im_detect: 59/11762 0.375s 0.000s
im_detect: 60/11762 0.380s 0.000s
im_detect: 61/11762 0.382s 0.000s
im_detect: 62/11762 0.378s 0.000s
im_detect: 63/11762 0.396s 0.000s
im_detect: 64/11762 0.390s 0.000s
im_detect: 65/11762 0.388s 0.000s
im_detect: 66/11762 0.392s 0.000s
im_detect: 67/11762 0.393s 0.000s
